ID,Type,Experiment,Plate,Treatment,is_low,Ct_Mean_bac,Ct_SD_bac,bac_copies,total_counts,sum_present
2-8_8,bee,2,4,B5-A5,,16.3156986236572,0.372919499874115,1615707344.26054,17520,13
2-8_9,bee,2,4,B5-A5,,13.4219360351562,0.0578716099262238,11511073520.9912,9698,11
2-10_1,bee,2,4,B6-0,,16.9886493682861,0.654391348361969,1023418152.50597,5131,11
2-10_10,bee,2,4,B6-0,,15.4350919723511,0.490836501121521,2936741365.14283,6837,12
2-10_2,bee,2,4,B6-0,,14.7213182449341,0.0772981196641922,4766562266.97011,2254,9
2-10_3,bee,2,4,B6-0,,18.1649761199951,0.120417602360249,460686362.630602,26340,12
2-10_4,bee,2,4,B6-0,,12.2483329772949,0.0357481986284256,25524717910.1709,4033,12
2-10_5,bee,2,4,B6-0,,18.0524578094482,0.285054683685303,497236496.109811,10253,9
2-10_6,bee,2,4,B6-0,,11.8266754150391,0.327516555786133,33979563429.9203,8809,13
2-10_7,bee,2,4,B6-0,,17.5547885894775,0.0957286208868027,696978625.894257,5668,11
2-10_8,bee,2,4,B6-0,,14.7007265090942,0.187211334705353,4833629737.76161,5311,6
2-10_9,bee,2,4,B6-0,,12.8677978515625,0.498165249824524,16765362125.5464,9177,11
2-12_1,bee,2,4,B6-A6,,12.8065919876099,0.162319332361221,17476299865.2955,4416,9
2-12_2,bee,2,4,B6-A6,,17.6462955474854,0.0605667121708393,655018525.903255,2973,10
2-12_3,bee,2,4,B6-A6,,14.6933507919312,0.0467775501310825,4857881369.378,3851,11
2-12_4,bee,2,4,B6-A6,,13.757758140564,0.0869668275117874,9165444778.66885,3841,13
2-12_5,bee,2,4,B6-A6,,12.6729001998901,0.441203564405441,19135802038.3907,11314,18
2-12_6,bee,2,4,B6-A6,,16.4107418060303,0.105881944298744,1514798074.86665,2645,11
2-12_7,bee,2,4,B6-A6,,18.7795848846436,0.0897549092769623,303590637.571352,12982,9
2-12_8,bee,2,4,B6-A6,,16.1100025177002,0.147433742880821,1857712871.41887,2867,12
